,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4650,1,7,"[95.3, 49.9]",0.0,Adelina Engman,Regular Play,Chelsea FCW,Right Wing,0.021714197,Normal,Right Foot,Open Play,0,0,95.3,49.9,26.610148440021902,0.27810881567072265
4651,1,7,"[97.0, 43.2]",0.0,Bethany England,Regular Play,Chelsea FCW,Center Forward,0.035406895,Volley,Right Foot,Open Play,1,0,97.0,43.2,23.221541723150082,0.3381485096955628
4652,1,15,"[95.8, 47.3]",0.0,Rachel Furness,From Free Kick,Tottenham Hotspur Women,Right Center Midfield,0.037382737,Normal,Head,Open Play,0,0,95.8,47.3,25.277064703006953,0.3013256389931494
4653,1,24,"[114.2, 42.9]",0.0,Magdalena Lilly Eriksson,From Corner,Chelsea FCW,Left Center Back,0.124280035,Normal,Head,Open Play,0,0,114.2,42.9,6.484597134749387,1.0592258251995696
4654,1,29,"[109.5, 31.8]",1.0,Hannah Jayne Blundell,From Free Kick,Chelsea FCW,Left Back,0.09633449,Normal,Right Foot,Open Play,1,0,109.5,31.8,13.322537295875737,0.47964211696639
4655,1,30,"[111.3, 28.7]",1.0,Rachel Furness,From Free Kick,Tottenham Hotspur Women,Right Center Midfield,0.022630429,Normal,Head,Open Play,0,0,111.3,28.7,14.261135999632009,0.35564392385536797
4656,1,31,"[110.9, 23.2]",1.0,Kit Graham,Regular Play,Tottenham Hotspur Women,Center Forward,0.030784447,Normal,Left Foot,Open Play,0,0,110.9,23.2,19.10628168953865,0.20561847068517414
4657,1,33,"[99.5, 37.5]",0.0,Bethany England,Regular Play,Chelsea FCW,Center Forward,0.03889635,Normal,Right Foot,Open Play,0,0,99.5,37.5,20.65187642806338,0.3800862973219104
4658,1,38,"[106.0, 26.8]",0.0,Adelina Engman,Regular Play,Chelsea FCW,Right Wing,0.08353893,Normal,Left Foot,Open Play,1,0,106.0,26.8,19.24162155328911,0.3062246976998017
4659,1,42,"[96.4, 40.3]",1.0,Coral-Jade Haines,Regular Play,Tottenham Hotspur Women,Left Center Midfield,0.030567322,Normal,Left Foot,Open Play,0,0,96.4,40.3,23.60190670263739,0.33574009398241
4660,1,44,"[95.8, 50.0]",0.0,Guro Reiten,Regular Play,Chelsea FCW,Left Wing,0.022279559,Normal,Left Foot,Open Play,0,0,95.8,50.0,26.18472837361503,0.28143679233644364
