,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,outcome,first_time
1715,2,55,"[97.6, 27.7]",,Yana Daniels,From Free Kick,Bristol City WFC,Left Midfield,0.047777604,Normal,Right Foot,Free Kick,Blocked,False
1716,2,57,"[97.7, 30.3]",,Alex Greenwood,From Free Kick,Manchester City WFC,Left Center Back,0.07694397,Normal,Left Foot,Free Kick,Blocked,False
1717,2,58,"[88.9, 45.4]",,Georgia Stanway,From Free Kick,Manchester City WFC,Right Back,0.010935759000000001,Volley,Right Foot,Open Play,Blocked,True
1718,2,58,"[99.7, 36.8]",1.0,Caroline Weir,From Corner,Manchester City WFC,Left Center Midfield,0.040126927,Normal,Left Foot,Open Play,Blocked,False
1719,2,61,"[94.1, 35.9]",,Aimee Palmer,From Corner,Bristol City WFC,Right Center Midfield,0.013760259,Half Volley,Right Foot,Open Play,Off T,True
1720,2,61,"[101.0, 23.4]",,Abigail Harrison,From Goal Kick,Manchester City WFC,Center Forward,0.03261064,Normal,Right Foot,Open Play,Off T,True
1721,2,65,"[106.7, 38.4]",,Samantha June Mewis,From Counter,Manchester City WFC,Right Center Midfield,0.40177688,Normal,Right Foot,Open Play,Saved,False
1722,2,69,"[109.7, 42.3]",,Lauren Hemp,Regular Play,Manchester City WFC,Left Wing,0.07443501,Normal,Head,Open Play,Off T,False
1723,2,77,"[114.1, 37.0]",,Ellen White,From Throw In,Manchester City WFC,Center Forward,0.38684228,Half Volley,Right Foot,Open Play,Saved,True
1724,2,78,"[109.7, 40.3]",,Caroline Weir,From Throw In,Manchester City WFC,Left Center Midfield,0.21409105,Normal,Left Foot,Open Play,Blocked,False
1725,2,78,"[111.3, 48.5]",,Georgia Stanway,From Corner,Manchester City WFC,Right Back,0.44525898,Normal,Right Foot,Open Play,Saved,True
1726,2,79,"[92.3, 29.9]",,Caroline Weir,From Corner,Manchester City WFC,Left Center Midfield,0.02177475,Normal,Right Foot,Open Play,Off T,False
1727,2,80,"[106.5, 31.7]",1.0,Lauren Hemp,Regular Play,Manchester City WFC,Left Wing,0.26094049999999996,Normal,Left Foot,Open Play,Off T,False
1728,2,84,"[111.9, 48.4]",,Rosemary Kathleen Lavelle,From Free Kick,Manchester City WFC,Center Forward,0.09104703,Normal,Right Foot,Open Play,Saved,False
1729,2,88,"[109.1, 32.8]",,Janine Elizabeth Beckie,From Throw In,Manchester City WFC,Right Wing,0.38765165,Normal,Right Foot,Open Play,Saved,False
1730,2,88,"[109.3, 43.1]",,Samantha June Mewis,From Throw In,Manchester City WFC,Right Center Midfield,0.045740668000000005,Normal,Head,Open Play,Goal,False
1731,2,91,"[91.7, 53.9]",1.0,Charlie Wellings,From Counter,Bristol City WFC,Center Forward,0.04403079,Normal,Right Foot,Open Play,Off T,False
1732,2,91,"[105.3, 34.5]",,Charlie Wellings,Regular Play,Bristol City WFC,Center Forward,0.034512702,Normal,Head,Open Play,Saved,False
1733,1,1,"[108.6, 57.0]",,Chloe Kelly,Regular Play,Manchester City WFC,Right Wing,0.03066381,Normal,Right Foot,Open Play,Saved,False
1734,1,9,"[116.3, 40.7]",1.0,Samantha June Mewis,From Throw In,Manchester City WFC,Right Center Midfield,0.23562479,Normal,Head,Open Play,Off T,False
1735,1,11,"[112.6, 37.4]",,Samantha May Kerr,From Free Kick,Chelsea FCW,Center Forward,0.14529034,Normal,Head,Open Play,Off T,False
1736,1,14,"[111.5, 36.5]",,Melanie Leupolz,From Corner,Chelsea FCW,Right Defensive Midfield,0.09391095,Normal,Head,Open Play,Wayward,False
1737,1,14,"[114.2, 38.4]",,Samantha May Kerr,From Corner,Chelsea FCW,Center Forward,0.18453442,Normal,Head,Open Play,Blocked,False
1738,1,17,"[99.9, 40.5]",,So-Yun Ji,Regular Play,Chelsea FCW,Left Defensive Midfield,0.056775417,Normal,Left Foot,Open Play,Blocked,False
1739,1,24,"[112.0, 53.6]",,Samantha May Kerr,From Throw In,Chelsea FCW,Center Forward,0.04454695,Half Volley,Right Foot,Open Play,Blocked,False
1740,1,25,"[114.1, 45.1]",1.0,Samantha May Kerr,From Corner,Chelsea FCW,Center Forward,0.056946162,Normal,Head,Open Play,Goal,False
1741,1,26,"[97.0, 45.5]",,So-Yun Ji,Regular Play,Chelsea FCW,Left Defensive Midfield,0.05239043,Normal,Right Foot,Open Play,Off T,True
1742,1,27,"[102.7, 37.7]",,Samantha May Kerr,Regular Play,Chelsea FCW,Center Forward,0.07916761,Normal,Right Foot,Open Play,Off T,True
1743,1,28,"[113.9, 40.5]",1.0,Chloe Kelly,From Goal Kick,Manchester City WFC,Right Wing,0.53217274,Half Volley,Left Foot,Open Play,Goal,True
1744,1,33,"[108.2, 40.1]",,Pernille Mosegaard Harder,Other,Chelsea FCW,Center Attacking Midfield,0.76,Normal,Right Foot,Penalty,Goal,False
1745,1,38,"[112.0, 44.0]",1.0,Ellen White,From Free Kick,Manchester City WFC,Center Forward,0.069505654,Normal,Head,Open Play,Blocked,False
1746,1,38,"[112.8, 47.8]",1.0,Lucy Bronze,From Free Kick,Manchester City WFC,Right Back,0.05288556,Half Volley,Right Foot,Open Play,Saved,True
1747,1,41,"[94.0, 42.6]",,So-Yun Ji,Regular Play,Chelsea FCW,Left Defensive Midfield,0.02686918,Normal,Right Foot,Open Play,Off T,True
1748,2,49,"[96.1, 47.7]",1.0,Chloe Kelly,Regular Play,Manchester City WFC,Right Wing,0.039086636,Normal,Left Foot,Open Play,Off T,True
1749,2,57,"[103.7, 27.0]",,Caroline Weir,From Throw In,Manchester City WFC,Left Center Midfield,0.036631323,Normal,Left Foot,Open Play,Blocked,True
1750,2,60,"[91.6, 29.1]",,Erin Cuthbert,From Throw In,Chelsea FCW,Left Wing,0.01214427,Normal,Right Foot,Open Play,Off T,False
1751,2,64,"[103.9, 33.2]",,Samantha May Kerr,From Throw In,Chelsea FCW,Center Forward,0.027319144,Normal,Right Foot,Open Play,Off T,True
1752,2,69,"[112.6, 46.2]",1.0,Niamh Charles,From Corner,Chelsea FCW,Center Attacking Midfield,0.032354653000000004,Normal,Head,Open Play,Off T,False
1753,2,73,"[110.2, 38.6]",1.0,Lauren Hemp,From Free Kick,Manchester City WFC,Left Wing,0.15327333,Normal,Right Foot,Open Play,Goal,True
1754,2,78,"[115.1, 44.6]",1.0,Lauren Hemp,From Corner,Manchester City WFC,Left Wing,0.08535872400000001,Normal,Head,Open Play,Saved to Post,False
1755,2,81,"[104.5, 30.2]",,Guro Reiten,From Throw In,Chelsea FCW,Left Defensive Midfield,0.090869665,Normal,Left Foot,Open Play,Off T,True
1756,2,82,"[105.3, 50.5]",,Francesca Kirby,Regular Play,Chelsea FCW,Right Wing,0.06317708,Normal,Right Foot,Open Play,Blocked,False
1757,2,84,"[117.8, 35.7]",1.0,Lauren Hemp,From Goal Kick,Manchester City WFC,Left Wing,0.19214378000000001,Normal,Head,Open Play,Wayward,False
1758,2,84,"[105.5, 56.4]",,Georgia Stanway,From Goal Kick,Manchester City WFC,Right Center Midfield,0.050419399999999996,Normal,Right Foot,Open Play,Saved,False
1759,2,91,"[110.7, 48.1]",1.0,Abby Dahlkemper,From Corner,Manchester City WFC,Right Center Back,0.010301749,Normal,Head,Open Play,Saved,False
1760,2,93,"[110.5, 48.8]",,Lucy Bronze,From Throw In,Manchester City WFC,Right Back,0.033930840000000004,Normal,Head,Open Play,Off T,False
1761,2,95,"[100.0, 34.2]",,Samantha May Kerr,From Goal Kick,Chelsea FCW,Center Forward,0.37449738,Normal,Right Foot,Open Play,Saved,False
1762,1,0,"[105.8, 50.1]",,Chloe Kelly,From Kick Off,Manchester City WFC,Right Wing,0.181337,Normal,Right Foot,Open Play,Saved,True
1763,1,9,"[110.4, 30.7]",,Caroline Weir,From Throw In,Manchester City WFC,Left Center Midfield,0.11893102,Normal,Left Foot,Open Play,Saved,False
1764,1,9,"[113.0, 42.1]",,Chloe Kelly,From Throw In,Manchester City WFC,Right Wing,0.6562762,Half Volley,Right Foot,Open Play,Goal,True
1765,1,17,"[111.3, 36.4]",1.0,Lauren Hemp,Regular Play,Manchester City WFC,Left Wing,0.08590167,Normal,Head,Open Play,Saved,False
1766,1,22,"[116.0, 38.5]",,Chloe Kelly,Regular Play,Manchester City WFC,Right Wing,0.52883506,Half Volley,Right Foot,Open Play,Goal,True
1767,1,28,"[86.9, 35.2]",,Georgia Stanway,Regular Play,Manchester City WFC,Left Back,0.0135083245,Normal,Right Foot,Open Play,Off T,False
1768,1,34,"[101.9, 51.6]",,Lucy Bronze,Regular Play,Manchester City WFC,Right Back,0.03581817,Half Volley,Right Foot,Open Play,Wayward,True
1769,1,39,"[98.3, 48.8]",,Chloe Kelly,From Counter,Manchester City WFC,Right Wing,0.0702867,Normal,Left Foot,Open Play,Off T,False
